data_len,Func_LP,Func_MVC,EWMA,Speed(G),Speed+Acc(G),Median,IMR,Speed(L),Speed+Acc(L)
2000.0,0.08970902814277786,0.07116673044381432,0.32509290565774435,0.3732712436832299,0.3741858192422494,0.6025429370384263,0.9042425056740383,0.997745604354576,2.1890960236373966
4000.0,0.09534610812312434,0.07174579202623961,0.32377398242827077,0.3950501473774746,0.39411307167767856,0.6076491656228773,0.8657155813639535,0.9970457279093755,2.196048748256496
6000.0,0.08981810495310492,0.07210064690890271,0.3190501117780859,0.3820647696817734,0.3821025214262685,0.6043501528273799,0.8367479473426565,0.9974209651016575,2.191026270655105
8000.0,0.09912353464310471,0.07477869170582627,0.3223735541676142,0.3905462275096429,0.3906327271074658,0.6069986983096325,0.7816506703074283,0.9968973930510479,2.18472966784887
10000.0,0.0925822479153925,0.07138796182547538,0.31697216714765303,0.3782827435125318,0.37848367594192683,0.6005501632000037,0.7776701601844123,0.9974509621372619,2.201909752671925
12000.0,0.0973685080007231,0.07631237358119843,0.32327356137940527,0.3895357941547183,0.389779413994182,0.6019902688619833,0.7254957792118422,0.9972958151232405,2.201508595111882
14000.0,0.09551618844981435,0.07380392159667101,0.321314445899592,0.3918832912650061,0.39205686977554355,0.6041104096337563,0.6704287715498535,0.9971479221666049,2.185708478091566
16000.0,0.09688028169786767,0.07826560466172813,0.320461388760612,0.38303025313157657,0.3830603821189299,0.6021116453389588,0.6181002557275607,0.9973477571268036,2.199240641451282
18000.0,0.09776418113561315,0.07483273365352446,0.32639669989868536,0.3885081323347994,0.38903840646109394,0.6053762712727122,0.5565420473731882,0.997239777774361,2.190780902756999
20000.0,0.09974823713668263,0.07736588989355685,0.32650368114768374,0.38806514999977515,0.38878965047815645,0.6045868919519075,0.5090347604624736,0.9976824260275386,2.190503749720071
