,error_ratio,Speed(L),Speed(G),speed+Acc(L),speed+Acc(G),IMR,EWMA,Median
0,0.05,0.983270173,0.959792957,0.994361771,0.964137166,0.551252426,0.992882891,0.992513171
1,0.1,0.986753113,0.963571062,0.995335603,0.965390177,0.504454499,0.990018191,0.988898736
2,0.15,0.985181943,0.957421533,0.994404152,0.960735276,0.469426035,0.986369889,0.985963486
3,0.2,0.985795867,0.960484925,0.995160432,0.964719547,0.47253545,0.990611237,0.989812709
4,0.25,0.986456376,0.961849218,0.995330453,0.963631784,0.489818062,0.989633993,0.989072097
5,0.3,0.986122689,0.958155576,0.995129048,0.961277563,0.494924729,0.988165874,0.987463018
6,0.35,0.987742565,0.960931221,0.995421403,0.963557814,0.500990355,0.988287978,0.987441153
