data_len,fd,domino,cords,is_cover
100.0,0.288,0.263,0.383,0.508
200.0,0.2685,0.2455,0.4645,0.241
300.0,0.16133333333333336,0.22,0.42533333333333334,0.17033333333333334
400.0,0.171,0.21275,0.35375,0.26525
500.0,0.1392,0.1362,0.4122,0.1466
