sensor0,sensor1,sensor2,sensor32,sensor33,sensor34
49.52,51.87,44.79,49.22,33.85,87.76
49.52,51.87,44.79,50.52,34.11,83.07
49.52,51.87,44.88,51.3,34.11,80.73
49.52,51.87,44.88,51.04,34.11,79.69
49.52,51.87,44.88,51.04,34.11,79.69
49.52,51.87,44.92,50.52,34.38,81.25
49.52,51.87,44.92,49.48,34.38,81.25
49.52,51.82,44.92,49.22,34.11,81.77
49.52,51.87,44.97,49.22,34.11,81.25
49.52,51.87,44.97,49.48,34.38,81.25
49.52,51.82,44.97,48.7,34.9,80.47
49.48,51.87,44.97,47.92,34.38,77.08
49.48,51.91,44.97,47.92,34.38,75.78
49.48,51.82,44.97,47.14,34.11,75.78
49.48,51.82,45.01,46.88,34.11,76.56
49.48,51.87,45.01,46.61,34.11,76.04
49.48,51.82,45.01,47.4,34.38,74.74
49.48,51.74,45.01,48.44,34.9,74.74
49.48,51.82,45.01,49.48,34.38,76.04
49.48,51.82,45.01,50.52,34.11,76.04
49.48,51.82,45.01,50.78,33.85,76.56
49.48,51.74,45.01,51.04,33.59,78.39
49.48,51.74,45.01,51.04,33.59,81.25
49.48,51.69,45.1,50.52,33.59,89.08
49.48,51.74,45.1,49.48,33.59,95.05
49.48,51.65,45.1,48.44,33.59,98.18
49.48,51.74,45.14,47.92,33.85,98.7
49.48,51.74,45.14,47.4,33.85,98.18
49.48,51.69,45.14,47.4,34.11,98.7
49.48,51.69,45.14,47.4,34.11,103.39
49.48,51.74,45.1,46.88,34.38,108.07
49.48,51.74,45.1,46.09,34.11,111.98
49.48,51.69,45.01,45.83,34.38,114.32
49.48,51.69,44.97,45.31,35.16,114.32
49.44,51.69,44.92,44.79,35.16,110.94
49.44,51.69,44.88,45.31,35.16,105.21
49.44,51.74,44.79,45.31,34.9,100.0
49.44,51.69,44.79,44.79,34.38,95.05
49.35,51.69,44.75,45.31,34.38,89.58
49.44,51.69,44.75,45.57,34.9,83.85
49.44,51.65,44.75,45.31,34.9,79.95
49.44,51.69,44.75,45.83,34.9,77.34
49.35,51.69,44.79,46.88,35.42,76.56
49.26,51.69,44.79,47.4,35.68,76.56
49.35,51.69,44.88,47.92,35.42,74.74
49.42,51.65,44.88,48.18,35.16,71.88
49.35,51.65,44.92,48.44,34.9,70.31
49.35,51.69,44.92,50.0,35.16,70.31
49.35,51.69,44.97,49.19,35.68,70.31
49.35,51.69,44.97,49.17,35.68,67.97
49.35,51.65,44.97,49.03,35.68,65.36
49.35,51.67,44.97,48.84,35.42,66.41
49.35,51.82,44.92,48.57,35.42,69.53
49.35,51.69,44.88,48.27,35.42,75.26
49.35,51.74,44.79,47.99,35.16,78.65
49.35,51.69,44.75,49.74,35.16,80.99
49.35,51.74,44.7,49.22,35.68,82.29
49.35,51.74,44.66,48.18,36.98,83.85
49.35,51.69,44.57,47.92,37.76,82.55
49.35,51.69,44.49,47.4,37.5,79.69
49.31,51.65,44.36,46.09,36.98,77.08
49.31,51.61,44.27,44.79,35.68,77.34
49.31,51.65,44.26,44.01,35.16,79.95
49.26,51.65,44.21,44.27,33.85,79.95
49.26,51.65,44.17,44.27,33.85,79.95
49.26,51.61,44.13,45.31,33.07,77.34
49.26,51.61,44.09,45.57,32.55,73.18
49.22,51.65,44.06,45.57,31.77,68.23
49.22,51.61,44.02,45.83,31.51,66.93
49.13,51.52,44.0,46.09,31.25,85.04
49.09,51.52,43.97,47.92,30.99,86.2
49.09,51.52,43.96,48.18,30.47,86.61
49.05,51.52,43.95,47.92,30.47,86.63
