sensor0,sensor1,sensor2,sensor32,sensor33,sensor34
49.65,52.04,44.92,50.52,35.42,86.98
49.65,52.04,44.92,50.78,36.46,86.2
49.57,52.04,44.97,51.04,37.76,85.16
49.57,52.04,45.01,51.04,38.8,84.38
49.52,51.95,45.1,50.78,39.32,83.85
49.57,52.04,45.1,49.48,38.8,80.99
49.57,51.95,45.14,49.22,37.76,78.39
49.57,51.95,45.18,49.22,36.72,77.08
49.57,51.95,45.18,48.44,36.2,75.26
49.57,51.91,45.18,48.7,35.68,73.18
49.57,51.95,45.18,49.48,35.42,72.66
49.57,51.91,45.14,49.22,35.16,73.18
49.57,51.87,45.14,49.48,35.16,73.44
49.52,51.91,45.01,50.52,34.9,73.44
49.57,51.91,44.97,51.3,34.38,72.14
49.57,51.91,44.92,52.08,34.11,71.88
49.57,51.91,44.92,52.08,34.11,71.88
49.52,51.91,44.83,51.82,34.11,70.57
49.52,51.91,44.7,51.04,33.85,70.57
49.52,51.91,44.66,50.52,33.59,72.66
49.52,51.95,44.57,50.52,33.85,74.48
49.52,51.91,44.57,50.0,33.85,75.78
49.57,51.91,44.53,50.52,34.11,77.34
49.57,51.91,44.53,51.82,34.11,80.73
49.57,51.91,44.49,52.34,34.9,82.29
49.52,51.91,44.49,52.34,35.16,83.33
49.52,51.95,44.44,52.08,35.16,82.29
49.52,51.95,44.44,51.04,34.9,79.69
49.52,51.91,44.36,50.78,34.38,78.39
49.52,51.87,44.44,51.82,34.38,79.43
49.52,51.91,44.44,52.08,35.16,81.25
49.52,51.91,44.44,52.08,34.9,82.55
49.52,51.95,44.49,51.82,34.9,81.77
49.52,51.87,44.53,51.3,34.38,80.47
49.52,51.95,44.53,52.08,34.38,79.95
49.52,51.91,44.57,53.12,34.9,83.07
49.52,51.87,44.66,53.91,35.16,88.8
49.52,51.87,44.7,53.12,35.16,93.49
49.52,51.87,44.7,52.08,35.16,97.4
49.52,51.87,44.75,51.04,34.38,99.22
49.52,51.91,44.75,50.0,34.38,99.22
49.52,51.91,44.75,48.7,34.38,99.22
49.52,51.87,44.79,47.92,34.38,98.18
49.52,51.82,44.79,47.92,34.11,96.61
49.52,51.87,44.79,48.18,34.11,92.45
