data_len,Speed(L),Speed(G),Speed+Acc(L),Speed+Acc(G),IMR,EWMA,Median,Func_LP
2000.0,0.8743370993774499,0.8836075563680683,0.8535245993499945,0.8865378094269243,0.6959706959706959,0.29611229398312433,0.5807833060811336,0.9079853570763791
4000.0,0.8795078860674616,0.8845333604143393,0.8512118491921006,0.8862827509066875,0.6823323906172019,0.2771188625732071,0.574756385861731,0.9109892493106546
6000.0,0.8849222605879714,0.8832668961768437,0.855556805821237,0.8846589621572626,0.6497224149895905,0.2776600985221675,0.5760866761253708,0.9128971962616823
8000.0,0.8755379834556409,0.882666120610218,0.8519250310488878,0.8843288682340076,0.6450304259634888,0.27116937312891226,0.5644080841481144,0.9136933612683322
10000.0,0.8785808238950517,0.881833399109974,0.8534001978951156,0.8827646305928488,0.6182060087380212,0.2745991740223065,0.5677546983184966,0.9147541800603024
12000.0,0.8802958717372783,0.8854620577543971,0.8542707934342917,0.8859481736577655,0.6052089642640823,0.27665808399183167,0.571194190253922,0.9147529431271763
14000.0,0.8759507514872322,0.8840161905593896,0.8527400280617359,0.8848277471031961,0.6096394312007696,0.27368865226428557,0.5648067925836077,0.9146265467818038
16000.0,0.8711597487163306,0.8849186916361302,0.849239492207314,0.8858436686830454,0.6494330067158428,0.2779523031989513,0.5673091458805745,0.9142287234042553
18000.0,0.8628203025447572,0.8792129795625673,0.8408829784633438,0.8799569352233985,0.6664797881183909,0.279556718599359,0.5654856396101313,0.9063041431904066
20000.0,0.8569041271862264,0.8747070464200566,0.8353556105110679,0.8763501182832037,0.6916850372003307,0.2776774891855125,0.5626153939283877,0.9020088433447057
