data_len,Speed(L),Speed(G),Speed+Acc(L),Speed+Acc(G),IMR,EWMA,Median,Func_LP
2000.0,0.7802469135802469,0.9137375717686599,0.7453513407711881,0.918364479415484,0.8864097363083164,0.1742621124930388,0.4130579244656108,0.8619389798562846
4000.0,0.7897382198952879,0.9110878661087866,0.7420159436592165,0.9141378828135925,0.9276263711410155,0.16111140853364742,0.40599543825350276,0.860974467088311
6000.0,0.7982894551597917,0.9153170914894616,0.7485314868900338,0.9172501292232508,0.9573924158500213,0.1615610063704309,0.40840511329346574,0.8686613177344769
8000.0,0.7834464751958224,0.9119856130328996,0.7431610568044714,0.9149372458900478,0.9679084232118044,0.15714158040553683,0.396,0.8666468930742993
10000.0,0.7878541157804638,0.9133425422152059,0.7451500157084512,0.9148275667438054,0.9762080517858157,0.1594714592229091,0.3993705979319646,0.8687934870071472
12000.0,0.7906297281786404,0.9164154690968571,0.7464165605511477,0.9171069241198747,0.9867180170838888,0.16088164079190997,0.4029120987565715,0.8703583190360685
14000.0,0.7840086616041766,0.9152613912728881,0.7442306346651739,0.9175436474335712,0.990998985801217,0.15889102610631245,0.3968889362414575,0.8697934304097528
16000.0,0.7761478206422429,0.9153377233585439,0.7386679560014505,0.9169071479790825,0.9949735181999123,0.16173459692808376,0.39898201245240644,0.8674824302712855
18000.0,0.7631737529293605,0.9059575123152709,0.7263397947548461,0.9075879086983344,0.9980603323490244,0.1628471731596859,0.3974681308328672,0.855103616939117
20000.0,0.7539307861572314,0.8980030508944667,0.7180570021778241,0.900401394463812,0.9996266520646141,0.16158437283624136,0.3947367023959312,0.8473232983536
