tid,clean,origin,LP,approx,speed(L),speed(G),Acc(L),Acc(G),IMR,Median,EWMA
316.0,51.85753,51.85753,51.85753,51.82036705918476,51.85753,51.85753,51.84514235306159,51.85753,51.85753,51.85752993419371,51.85525176928199
317.0,51.85753,51.85753,51.85753,51.807979412246354,51.85753,51.85753,51.84514235306159,51.85753,51.85753,51.85752990129056,51.855479592353795
318.0,51.85753,51.85753,51.85753,51.79559176530794,51.85753,51.85753,51.84514235306159,51.85753,51.85753,51.85752988483899,51.855684633118415
319.0,51.85753,51.85753,51.84514235306159,51.78320411836953,51.85753,51.85753,51.84514235306159,51.84514235306159,51.85753,51.8575298766132,51.855869169806574
320.0,51.85753,51.85753,51.832754706123175,51.77081647143112,51.84514235306159,48.38003889678087,51.84514235306159,51.832754706123175,51.85753,51.85752987250031,51.85603525282592
321.0,51.85753,39.44584412004912,51.82036705918476,51.75842882449271,51.84514235306159,48.36765124984245,51.84514235306159,51.82036705918476,39.44584412004912,50.92332972874438,50.615016139548246
322.0,51.85753,48.355263602904046,51.807979412246354,51.746041177554304,39.45775897058933,48.355263602904046,27.054044902375395,51.807979412246354,48.355263602904046,50.45622965686641,50.38904088588382
323.0,51.85753,37.47550413278149,51.79559176530795,51.73365353061589,48.34287595596564,48.34287595596564,57.244817604663,51.79559176530795,51.85753,50.22267962092742,49.09768721057359
324.0,51.85753,49.98912958498844,51.78320411836953,51.726466644057666,37.4874189833217,48.330488309027224,26.61563132493609,51.78320411836953,49.70655521588363,50.33945463889692,49.18683144801507
325.0,51.85753,44.59282686486299,51.77081647143112,51.73838149459788,49.97674193805003,48.31810066208881,62.482889556099416,51.770816471431125,54.87538145155589,50.281067129912174,48.72743098969986
326.0,51.85753,48.762492213449576,51.762211195678304,51.75029634513809,44.60474171540321,48.3057130151504,39.216410807014704,51.76284465969418,49.02641582596894,50.2518733754198,48.730937112074834
327.0,51.85753,31.146978227859382,51.77412604621851,51.762211195678304,48.75010456651117,48.293325368211995,52.91229208094018,51.77475951023439,38.5110287686334,50.26647025266598,46.97254122365329
328.0,51.85753,51.99238597137176,51.78604089675873,51.77412604621851,31.158893078399593,51.78604089675873,13.551350904546346,51.7866743607746,51.85753,50.27376869128908,47.47452569842513
329.0,51.85753,43.58101651189651,51.79795574729894,51.78604089675873,51.97999832443335,51.79795574729894,72.81792823378817,51.79858921131481,51.85753,50.277417910600626,47.08517477977227
330.0,51.85753,47.25629629240007,51.80987059783915,51.79795574729894,43.59293136243672,51.80987059783915,35.18953371469841,51.81050406185503,47.24042939697853,50.2792425202564,47.102286931035046
331.0,51.85753,62.511074370184474,51.82178544837936,51.80987059783915,47.26821114294029,51.82178544837936,47.26821114294029,51.822418912395236,68.41326044214473,51.0683862601282,48.64316567494999
332.0,51.85753,64.36477769761206,51.833700298919574,51.82178544837936,62.49868672324607,51.833700298919574,77.74598696687289,51.834333762935444,64.6325131571227,51.462958130064095,50.2153268772162
333.0,51.85753,51.85753,51.84561514945979,51.833700298919574,64.35239005067365,51.84561514945978,66.19861554394366,51.84624861347566,56.07176777144342,51.660244065032046,50.37954718949458
334.0,51.85753,51.85753,51.85753,51.84561514945979,51.85753,51.85753,39.3701689646651,51.85753,52.232755611751436,51.75888703251602,50.52734547054512
335.0,51.85753,51.85753,51.85753,51.85753,51.85753,51.85753,51.85753,51.85753,51.85753,51.808208516258006,50.66036392349061
336.0,51.85753,51.85753,51.85753,51.85753,51.85753,51.85753,51.85753,51.85753,52.286642691887266,51.832869258129,50.78008053114154
337.0,51.85753,51.85753,51.85753,51.85753,51.85753,51.85753,51.85753,51.85753,51.85753,51.845199629064496,50.88782547802739
