,error_ratio,Speed(L),Speed(G),speed+Acc(L),speed+Acc(G),IMR,EWMA,Median
0,0.05,0.563043914,0.853945914,0.364997592,0.850275867,0.475598726,0.729351896,0.812069141
1,0.1,0.580395724,0.850087561,0.367243532,0.854302216,0.532665011,0.766778723,0.857687131
2,0.15,0.574992673,0.85052385,0.364832584,0.850597733,0.47453762,0.793936683,0.886135911
3,0.2,0.577909303,0.854655644,0.363196884,0.863967476,0.689838008,0.813672825,0.895464481
4,0.25,0.572048537,0.863561794,0.370112838,0.865833826,0.685739148,0.817010533,0.90417986
5,0.3,0.581348658,0.861307058,0.363337834,0.862763443,0.783110446,0.844714897,0.927754471
6,0.35,0.582538178,0.859232998,0.368467696,0.857424023,0.731769344,0.847902962,0.921322178
