error_ratio,Func_MVC,Func_LP,EWMA,Speed(G),Speed+Acc(G),Median,IMR,Speed(L),Speed+Acc(L)
0.05,0.299412915851272,0.3028571428571429,0.09115593483320403,0.4924812030075188,0.5128205128205128,0.10380238689980571,1.0,0.4920424403183024,0.5309734513274337
0.1,0.3359840954274354,0.3858695652173913,0.15002641310089804,0.5307692307692308,0.5547169811320755,0.15635622025832766,1.0,0.619146722164412,0.6458752515090543
0.15000000000000002,0.5718120805369128,0.6033376123234917,0.22928597317868793,0.6666666666666666,0.6856435643564357,0.2342998309712651,1.0,0.7337709700948213,0.7449078564500485
0.2,0.6393643031784841,0.6310461192350956,0.28378758078111826,0.728051391862955,0.7309322033898306,0.276381268342478,1.0,0.7925624636839047,0.8081039755351682
0.25,0.6646525679758308,0.6842610364683301,0.36951911895478484,0.8251633986928104,0.8284313725490197,0.3764147499087258,1.0,0.8472156116135173,0.8500627352572145
0.3,0.7370727432077125,0.7428343949044586,0.4074438755415518,0.8349788434414669,0.837431693989071,0.4026606485330799,1.0,0.8598360655737705,0.8670255720053835
0.35000000000000003,0.7729591836734694,0.7882441597588545,0.4424273526204375,0.8715083798882681,0.8743386243386243,0.4471411901983664,1.0,0.899963490324936,0.8989031950405341
