data_len,Func_MVC,Func_LP,EWMA,Speed(G),Speed+Acc(G),Median,IMR,Speed(L),Speed+Acc(L)
2000.0,0.5714040360669815,0.5738943752683555,0.606784027479605,0.42808072133963077,0.4303993130098755,0.5428080721339631,0.42808072133963077,0.5311292400171748,0.5657363675397166
4000.0,0.5271084337349398,0.539029356864076,0.703673850330901,0.44001357542847447,0.4443831664686917,0.6343118954692007,0.49469709825216357,0.5532411335482776,0.5973612760902766
6000.0,0.5361077810127305,0.5475538048752641,0.7303476622709368,0.45932522692241823,0.4647485299994291,0.6579037506422333,0.5273448649882971,0.5712736199120854,0.6237940286578753
8000.0,0.5463992163877177,0.5672458583535624,0.8013074400579192,0.47206251863208554,0.48060133725139476,0.7207742430049827,0.5294493420212086,0.5878795621992249,0.6483326945189728
10000.0,0.5507079919086639,0.5697877738540131,0.8208934755031371,0.4785202454829088,0.4860973017451229,0.7376315699249152,0.550005142798368,0.5936846436040731,0.6532553913669558
12000.0,0.5520628126815856,0.5720319165521053,0.8248557944415312,0.4795277710851911,0.48672741960628696,0.7437180232146147,0.5419861392593432,0.5954591193185844,0.6604968891282473
14000.0,0.5487189488310865,0.5721703517710441,0.830062650837376,0.4802174495989859,0.48796957655834816,0.7485799956120036,0.5363838034177616,0.5942687891567734,0.6567246044708808
16000.0,0.5641271158490526,0.5834477035523922,0.8418924813549945,0.49774983243433024,0.5050482482738077,0.7634930260764099,0.5687444809719873,0.615790537593225,0.6795293266519847
18000.0,0.5757763030291506,0.597615470915971,0.8584875164007683,0.5033276921029113,0.5092129532792029,0.7850596132271007,0.5876038715320695,0.6155850082716918,0.6782692197988173
20000.0,0.5749818863742915,0.5968887184077057,0.8624472573839662,0.49968034778161363,0.5074883859693986,0.7885266163747177,0.609572518433278,0.6099049567403998,0.6756339768997996
