data_len,Func_MVC,Func_LP,EWMA,Speed(G),Speed+Acc(G),Median,IMR,Speed(L),Speed+Acc(L)
2000.0,0.7532356744341584,0.7668312644928894,0.6015346254546985,0.7064199399813672,0.7218158395693517,0.5596569344546243,0.6965920393846059,0.5497901657248423,0.3396143669115149
4000.0,0.724511009648517,0.7135217083989457,0.5298908740853511,0.6761713841184032,0.6879338660038714,0.5295958549247662,0.639270500439441,0.5303274193007055,0.3440695148082261
6000.0,0.726256318285692,0.7124892609688507,0.5594254551284717,0.6896889840292526,0.696901127054742,0.5352676761531672,0.5822465652029818,0.5352211787844552,0.35849427550345425
8000.0,0.7216445769226398,0.7239241863152097,0.5889023543455669,0.6853789204034479,0.6856266424757598,0.5414451653707817,0.68106973663725,0.5413791537676076,0.3633824227128065
10000.0,0.717556603961166,0.7187876167197107,0.5868489438039775,0.6818111439432366,0.6906553974285377,0.5516989140113034,0.7057526745149965,0.5394608653442698,0.36033845348108307
12000.0,0.7117586669466077,0.707198636881597,0.6177321054587985,0.6861030982111345,0.6897093970895742,0.5510115627350531,0.6878580369123258,0.5407981409739024,0.36063857490142914
14000.0,0.7046273339625115,0.6963709227621343,0.6077672313331253,0.6951727428228236,0.6996455940356396,0.5569596063023962,0.6487600221220593,0.5370745860643988,0.35852805075406324
16000.0,0.7157764021796037,0.7113027657712281,0.6416086579638066,0.6928756186069989,0.7005043635096735,0.5693213102952389,0.7136934260274583,0.5462466817635152,0.36206197965455944
18000.0,0.7048189338098634,0.7008823257637391,0.6253762858754746,0.6833248206750273,0.6934816936106165,0.5642329595141443,0.7160101737416156,0.5417913375541352,0.36160314745301747
20000.0,0.7063329999480346,0.7049833992033818,0.6348627032066825,0.6824132024464744,0.690036750792632,0.559252123864825,0.8121125564625284,0.5401099114318104,0.36415852118617065
