data_len,Func_MVC,Func_LP,EWMA,Speed(G),Speed+Acc(G),Median,IMR,Speed(L),Speed+Acc(L)
2000.0,0.417754897036665,0.39638196915776985,0.21758945618032888,0.8572656921754084,0.8662288282060145,0.3579072532699168,0.9115011885170964,0.8515764835467438,0.8106312292358804
4000.0,0.4610731779723913,0.44156385751520416,0.22068919638105375,0.8375999353953,0.850105502353514,0.3532663910218547,0.9641174038859033,0.8390272148233932,0.7973386183465458
6000.0,0.46604302622763705,0.4358782094978414,0.210839005257173,0.8379067951054413,0.847667638483965,0.33826443006207896,0.9767380385937087,0.8366707077463317,0.7941422290054144
8000.0,0.47048038137147047,0.43053625109092675,0.21419586191194467,0.8404989384288747,0.8519874674417727,0.34050921967265885,0.9848298807779142,0.8397615281664436,0.8004153631798944
10000.0,0.4895611094178604,0.4401801085948881,0.20455011447903496,0.8493017312197645,0.8599502638442409,0.3379727447669167,0.9874126734989075,0.8457555924587281,0.8063096421996996
12000.0,0.48846337120357136,0.4329153840378407,0.19792421197250873,0.8377280942830969,0.8511065401105301,0.32930456719002976,0.9920875813941422,0.8388906636850092,0.7998077880176423
14000.0,0.48841296706158055,0.4300332542438095,0.19448585479531863,0.837346708890353,0.849924633250536,0.3234632663917374,0.9946881851676047,0.8380603685368537,0.7990715885327836
16000.0,0.5046396314942945,0.44550594657828035,0.19430673316095892,0.8402629357567485,0.8523539339964807,0.3221871534590122,0.9967742536965561,0.841132360634773,0.8024700664631311
18000.0,0.5075045882323364,0.45534957512007473,0.19636558176353663,0.8352371335710455,0.8469140878255507,0.3249419542717721,0.9975144051519602,0.8356802664016417,0.796043161453742
20000.0,0.49449816361090543,0.445499137936519,0.2010272101409682,0.8360192817821387,0.8481274128524011,0.3310205147840276,0.9984362783424551,0.8365602712498539,0.7974846564040647
