data_len,Func_LP,Func_MVC,EWMA,Speed(G),Speed+Acc(G),Median,IMR,Speed(L),Speed+Acc(L)
2000.0,0.864977922379735,0.854242700729927,0.17367892671351648,0.9098564329099945,0.9177435042378769,0.41069681487118165,0.8706586826347306,0.7859493931289858,0.7451303420874116
4000.0,0.8680253729590038,0.8574389682174113,0.16291148106244277,0.9110618549560158,0.9167189351174297,0.41277985074626866,0.9122827898119495,0.7884294938554468,0.7452132608589197
6000.0,0.870361708762083,0.8566854703460893,0.16235098655950242,0.9152409137149727,0.9176083734716561,0.40926286208387375,0.9553571428571429,0.7979625895278493,0.7481769567331065
8000.0,0.8643211653108572,0.8549691055032627,0.1597348087379567,0.9104388879174681,0.9134095852922602,0.39889669140671846,0.968565415167357,0.7824873358833867,0.7448103865620186
10000.0,0.8706635071090048,0.8616775278536893,0.16060103591514385,0.916446146050335,0.9182251558489182,0.4016599299380221,0.975598338112236,0.787097446586764,0.7434894049971629
12000.0,0.8687407113841276,0.8600562038952422,0.15922326653661997,0.9147358010737496,0.9168810327331084,0.40185727809583915,0.983920182108781,0.790180444817457,0.7442210726213083
14000.0,0.8670414191224733,0.8593088330537888,0.16084603432855413,0.9153533810404438,0.917109714838086,0.3999051922532896,0.989660386611631,0.7837885827587228,0.744646075185449
16000.0,0.8715991792267608,0.8625187210096986,0.16179695164775074,0.9162265078000246,0.9169711234455139,0.399666499916625,0.99645178289127,0.7788533134772897,0.7399238990814571
18000.0,0.8539827577306283,0.8456234364880824,0.16209716440147745,0.9055299539170507,0.906907650408517,0.39491572225061833,0.9978114278954218,0.763172067139395,0.727070872332062
20000.0,0.8476680589850691,0.8378580917668699,0.1625998667001359,0.8989357290946787,0.9008919173452994,0.39552591224802747,0.9995607184693479,0.7588411207450225,0.7220419702489375
