data_len,Func_LP,Func_MVC,EWMA,Speed(G),Speed+Acc(G),Median,IMR,Speed(L),Speed+Acc(L)
2000.0,0.9130941429009507,0.9096981842472825,0.2954567508296621,0.8821521782774544,0.8868152524167562,0.5790703912327088,0.6864426784168699,0.8772171517134493,0.8534798534798534
4000.0,0.9159307117845744,0.9132554502805629,0.2798519204072189,0.8862610336230712,0.8889639791849699,0.582090418431896,0.6482851947392905,0.8790385787686146,0.8533617450793473
6000.0,0.9157832140586872,0.9109368350659615,0.2789318955316735,0.8848604063750364,0.886428203923674,0.5779224908741717,0.6278941405455655,0.8848919476413548,0.8555386724974984
8000.0,0.9116562896880711,0.9090239297610094,0.2749978331181658,0.8808661816951446,0.8822542657200468,0.5671737935999697,0.6306250552559456,0.8749403962026961,0.8531100344470272
10000.0,0.915540161718351,0.9122854740590534,0.27626360458577,0.8847998912821906,0.8856000217645618,0.5696204466592274,0.6045836959675079,0.8777749366558962,0.8522630422105594
12000.0,0.9133922246760281,0.9108119000134335,0.2741716313312833,0.8828963965499609,0.8839415726246815,0.5698068343070452,0.6139502553718759,0.8798808446015012,0.8527880692210289
14000.0,0.9132600602730013,0.9108431614152438,0.2766022225605115,0.8829192155189964,0.8837656099903938,0.567922950801872,0.6219437024861311,0.8756457412075878,0.8529595314675243
16000.0,0.9161126153034547,0.9130692444451286,0.27801626855084616,0.8838799779931441,0.8841561520873911,0.5677387567923519,0.6329625207814957,0.8725944251071542,0.8499443207126948
18000.0,0.9062273169261953,0.9041745022030021,0.2784695531944662,0.8791286331972135,0.8801718053073422,0.5630651572074167,0.659189933764483,0.8627709636093812,0.8413850759480442
20000.0,0.9020074897169869,0.8982744453574364,0.2791544377159416,0.8754963856394794,0.8764923060339019,0.5632464004654555,0.6989419795221843,0.859909479621543,0.8380571705426356
