data_len,Func_MVC,Func_LP,EWMA,Speed(G),Speed+Acc(G),Median,IMR,Speed(L),Speed+Acc(L)
2000.0,7.519153800007189,8.296312799993757,0.01300249999985681,6.606096599984085,6.978304799913531,0.630405999998402,11.599341699999059,0.8497481999984302,1.1159194999981992
4000.0,14.437464300004649,16.66638310000417,0.026151200001550023,13.12767949983936,14.075412200061692,1.2334920000048442,26.917022799991173,1.7411561999997502,2.1703563000028225
6000.0,21.715904700002284,25.356625999991593,0.03959819999545289,19.85556109999743,21.88282529996286,1.8963562000026286,45.20617360000324,2.6093672000006336,3.324768700000277
8000.0,31.267717300001095,35.99771889997464,0.05246189999525086,26.878417599951717,28.726368799816555,2.4669445999970776,64.361009500004,3.519702999996298,4.4988912000026176
10000.0,38.69419170000765,45.13002399999641,0.0686219000035635,35.195192100092754,37.63899249991846,3.2399975000007544,85.29936029999772,4.522217199999432,5.646541699996305
12000.0,46.1456284000069,52.890858399990975,0.08360069999616826,41.656315600079324,44.98845099993741,3.931368100003965,108.6444515000021,5.286805800000366,6.582922399999006
14000.0,53.82277029995748,63.2982599999923,0.09329320000324515,45.849472700769184,49.11558099983267,4.334797700001218,129.00774310000088,6.312006300007852,8.025673900003312
16000.0,64.0998523000053,72.23841779999748,0.10747209999681218,52.442304899661394,57.065166500380656,4.9762098000010155,146.2041356999962,6.8630260000009,8.666721800000232
18000.0,66.28371280005558,77.54747770001086,0.1222669999988284,58.919538299987835,62.877421400236926,5.532227400002739,167.3594661999996,7.679859199997736,9.697354600002654
20000.0,72.38868799995544,83.62447580001935,0.13156680000065535,63.93759049956316,68.86932789971434,6.084704699998838,182.49417299999732,8.484744300003513,10.716693999995186
