data_len,Func_MVC,Func_LP,EWMA,Speed(G),Speed+Acc(G),Median,IMR,Speed(L),Speed+Acc(L)
2000.0,0.9695860597885674,0.9574934457099231,0.8187358319026409,0.8086870106935486,0.8091736445224502,0.6215883016879789,0.36487318850770856,0.5940868297627939,0.37719371838682103
4000.0,0.9639579728784828,0.9542086102776806,0.8319393858216564,0.7912344323687373,0.791199751866849,0.6239160035087409,0.46976963881753087,0.5904617791791775,0.3668983606774978
6000.0,0.9616555998102049,0.950197794583433,0.827684976491061,0.7933552523179083,0.7934728969140817,0.618855821453399,0.5857511218545203,0.5871038755761591,0.36965062522482417
8000.0,0.9620972108313268,0.9509015553165769,0.8260962133330785,0.794278019223629,0.7944784908778227,0.6183260056265547,0.5609821535052535,0.5868453835417784,0.37274986529179754
10000.0,0.9629576718995171,0.9480137230771636,0.8267212778715316,0.7957496857376448,0.7959003837281355,0.6220195861125055,0.6005536746887365,0.5882914168508571,0.37200456099002555
12000.0,0.9594299160728675,0.9420256594363475,0.8237267755537938,0.7967696485064557,0.7967585184953068,0.6200671452911434,0.6020518897686643,0.5880771193079095,0.37069229956204486
14000.0,0.9650123316749183,0.9496845493048522,0.8360417206705495,0.8071167574435872,0.8070294283955699,0.6270279565663852,0.6107336960896537,0.5924419897070018,0.37271529805700054
16000.0,0.9619947641579053,0.9516157490003059,0.8331889348212196,0.7972824532748742,0.7974587717146522,0.6257059618851879,0.6702352366200108,0.5885717556105412,0.36930085005364366
18000.0,0.9620715561378361,0.9487627178930197,0.8364585164855673,0.7940834620348045,0.7942064647174135,0.624153524144612,0.7179931627711289,0.5885595400221971,0.37007444337520956
20000.0,0.9615765741519885,0.9490425657298717,0.8345315631114073,0.8011794381614157,0.8013540588300497,0.6247363279046256,0.7332197194679467,0.5899025585191022,0.3719340759499308
