data_len,Func_MVC,Func_LP,EWMA,Speed(G),Speed+Acc(G),Median,IMR,Speed(L),Speed+Acc(L)
2000.0,0.9537138217115237,0.952152728552058,0.9094183447261114,0.9635977914707284,0.9641322713454931,0.9203726664731618,0.9469355781129093,0.9676678378588522,0.9669776049885931
4000.0,0.9564222652304445,0.9559021444948349,0.9137961429206828,0.9649469377775138,0.965804104920058,0.9233053110695059,0.9509003285162263,0.9701177639704451,0.9707637958763348
6000.0,0.9541207188134013,0.9527940551629911,0.9137753802606108,0.9631403603423071,0.9643393831877641,0.9219215245590872,0.9541957558948234,0.9682763540174021,0.970418733420208
8000.0,0.9565085911446863,0.9559536451491624,0.913914197323024,0.9638920153901972,0.9648625578869207,0.922675494647053,0.9528704888718466,0.9692687030882151,0.9707118964657131
10000.0,0.9558550214630106,0.954747541069299,0.9129457502274716,0.964089005238775,0.9652863034171887,0.9215570568204992,0.950255703794118,0.9684981133067931,0.9706251944867887
12000.0,0.9569412171736176,0.9561576054408332,0.915129750515338,0.9651659350243217,0.9660373269720001,0.9234722960767638,0.9526820460963771,0.9694173702860408,0.9710935659179482
14000.0,0.9580734815047431,0.9572649678899171,0.915333036989015,0.9654621283184882,0.9664508406361043,0.9239889748369152,0.9513122674486194,0.9701011053633076,0.9712551122303437
16000.0,0.9576784423440448,0.9567907788860281,0.9151708480982548,0.9656190889775068,0.9663941090525229,0.9240629211570237,0.9532830662090742,0.97051914131135,0.9714437730436146
18000.0,0.957606230090552,0.9568801719924415,0.9144764018921677,0.965030900069767,0.9656454182519656,0.9232357539605693,0.9570239009269202,0.9698307070953008,0.9710724974814093
20000.0,0.9561421799286177,0.9559018344339547,0.9141507730045357,0.9637708998716682,0.9649922318351897,0.9228246594582783,0.9575043874140469,0.9685025490599397,0.9703634243959051
