data_len,Func_MVC,Func_LP,EWMA,Speed(G),Speed+Acc(G),Median,IMR,Speed(L),Speed+Acc(L)
0.05,0.95748,0.955824,0.56756,0.97696,0.9782,0.748072,0.97556,0.970272,0.96104
0.1,0.948336,0.947624,0.5648,0.964176,0.969184,0.750144,0.95028,0.962392,0.949752
0.15000000000000002,0.9418,0.942032,0.568968,0.954232,0.962624,0.755808,0.92572,0.959112,0.944472
0.2,0.93664,0.93976,0.575456,0.944472,0.956704,0.758288,0.900552,0.95556,0.937976
0.25,0.927,0.92812,0.586568,0.932616,0.94804,0.764336,0.888744,0.9494,0.931104
0.3,0.926368,0.926864,0.586616,0.926784,0.94448,0.766496,0.863536,0.949976,0.92112
0.35000000000000003,0.92276,0.92408,0.589912,0.917208,0.939128,0.767984,0.838008,0.946096,0.91756
